Ticker,Score
DAY,0.9952606635071091
CSGP,0.9136874361593462
TSLA,0.9057135065442219
BEN,0.9039917251217109
MOS,0.8979344270760214
WDAY,0.8944747275728693
CRL,0.8896833503575078
MCHP,0.8852707811917568
PLTR,0.871297242083759
WY,0.8712310817854245
EPAM,0.8646715302554272
LUV,0.8588639469943056
ENPH,0.8565273588970271
MGM,0.8535590206339452
DASH,0.8507665719444835
INCY,0.8485259969630811
IVZ,0.8412632905550528
EQT,0.8377265385093278
SWK,0.8358922038963575
TECH,0.8318971707597305
ON,0.8314082300183798
VTR,0.8306780462379804
KIM,0.8305376573122458
EXPE,0.8287585907533722
APA,0.8276302349336058
ARE,0.8257547518424029
DXCM,0.8191919729807798
LYV,0.8158258660947837
DOW,0.8149004287510068
CCL,0.814279974245893
NUE,0.8094801252850137
PAYC,0.8079479495955348
FRT,0.8065722994899203
AKAM,0.8057073746141323
PANW,0.7999163314275939
DOC,0.7989223132867629
KMX,0.7987492476283147
MKTX,0.7972364359285922
DD,0.7960503915560095
SWKS,0.7949159844894442
NCLH,0.7948861316719031
DLR,0.7932660111956135
UDR,0.7924833832762899
IPG,0.7899983379242127
