Ticker,Score
DAY,0.995433789954338
ENPH,0.962829871159989
PLTR,0.9213615023474181
MCHP,0.9047982721289687
INCY,0.9031663343837764
CSGP,0.9004303599374024
AMD,0.8924046562479901
TSLA,0.8618265912062946
WDAY,0.8585908525736172
DOC,0.8360894055351898
BALL,0.8358710099256117
AXON,0.8345994919287416
VTR,0.8272973074367056
LUV,0.8202161982549794
PCG,0.8175525757283428
PAYC,0.8137715179968703
TECH,0.8077663086586491
UDR,0.8051536004459023
ARE,0.7985079426329669
MKTX,0.7923794670611186
DOW,0.7869637918837223
VST,0.7866422277960001
FSLR,0.7861223658541816
RVTY,0.7803663686839456
WY,0.7759341436748342
GLW,0.7743691984479175
HOLX,0.7736282611957899
HST,0.7733549317212256
DXCM,0.7710410101399878
BEN,0.7680504641241666
AES,0.7668151220871653
GDDY,0.7659067035393491
CRL,0.7650625978090768
KIM,0.7640657491371363
SWK,0.7607094239715311
IVZ,0.7583780843355414
KMX,0.7565652667910048
FRT,0.7533817823225504
LYV,0.7533563251656059
FIS,0.75225362831479
NOW,0.7505453190987629
DLR,0.7493407936201688
DLTR,0.7477704889917896
TYL,0.7461331918451348
